decision,label,kind,target,factor,overrides,overall_proxy,overall_delta,overall_weighted_error,august_proxy,august_weighted_error,august_bad_day_rate_max,max_month_delta,bad_day_rate_max,affected_validation_rows,affected_submission_dates,month_proxy_deltas,gate_failures,risk_failures
KEEP_CANDIDATE,purchase_weekday0_x1.06,weekday,purchase,1.06,{},5.948866108880483,0.013000647451334224,0.14184886084824988,6.363246802707255,0.12145645007236713,0.16129032258064516,-0.04223359102293589,0.2032520325203252,17,"20140901,20140908,20140915,20140922,20140929","{""2014-05"": 0.02059159563530688, ""2014-06"": -0.02865738723589395, ""2014-07"": -0.04223359102293589, ""2014-08"": 0.10095816485830245}",,
KEEP_CANDIDATE,redeem_day10_x1.06,single_day,redeem,1.06,{},5.948818068668666,0.012952607239516745,0.14170653946059641,6.2885646658171925,0.12369691417906895,0.16129032258064516,-0.035696986745433534,0.2032520325203252,4,20140910,"{""2014-05"": -0.035696986745433534, ""2014-06"": 0.032202175441648606, ""2014-07"": 0.029650166106578446, ""2014-08"": 0.026276027968240356}",,
KEEP_CANDIDATE,purchase_weekday3_x1.03,weekday,purchase,1.03,{},5.948801140288582,0.012935678859433253,0.14189113036977805,6.287980322551652,0.12371444447703517,0.16129032258064516,-0.0343281993171054,0.2032520325203252,18,"20140904,20140911,20140918,20140925","{""2014-05"": 0.03593226786959658, ""2014-06"": 0.024830671626639322, ""2014-07"": -0.0343281993171054, ""2014-08"": 0.0256916847027}",,
KEEP_CANDIDATE,purchase_weekday3_x1.04,weekday,purchase,1.04,{},5.948486845899008,0.012621384469858832,0.14196192022708556,6.287087278097867,0.1237412358106487,0.16129032258064516,-0.0457709360286076,0.2032520325203252,18,"20140904,20140911,20140918,20140925","{""2014-05"": 0.04790968788215366, ""2014-06"": 0.023912371153876677, ""2014-07"": -0.0457709360286076, ""2014-08"": 0.02479864024891487}",,
KEEP_CANDIDATE,redeem_day10_x1.08,single_day,redeem,1.08,{},5.948098225958147,0.012232764528998352,0.14172813474191195,6.277336319436758,0.12403376457048194,0.16129032258064516,-0.04759597831091433,0.2032520325203252,4,20140910,"{""2014-05"": -0.04759597831091433, ""2014-06"": 0.04293623392219903, ""2014-07"": 0.03953355541345527, ""2014-08"": 0.015047681587805783}",,
KEEP_CANDIDATE,purchase_day3_4_x0.96,day_range,purchase,0.96,{},5.9480377643712865,0.01217230294213767,0.14188884618117464,6.2281427647704115,0.12550957121047238,0.16129032258064516,-0.03414587307854067,0.2032520325203252,8,"20140903,20140904","{""2014-05"": 0.0, ""2014-06"": 0.04251688758325667, ""2014-07"": 0.04129705483289836, ""2014-08"": -0.03414587307854067}",,
KEEP_CANDIDATE,purchase_day26_x1.08,single_day,purchase,1.08,{},5.947188209729572,0.011322748300423235,0.14175543522876924,6.290083936188391,0.12365133606793295,0.16129032258064516,-0.046073959638057715,0.2032520325203252,4,20140926,"{""2014-05"": 0.03245927187498854, ""2014-06"": 0.031769970436152484, ""2014-07"": -0.046073959638057715, ""2014-08"": 0.027795298339438723}",,
KEEP_CANDIDATE,purchase_weekday3_x1.02,weekday,purchase,1.02,{},5.9467319761742425,0.010866514745093703,0.1418918442866697,6.279416428308857,0.12397136130431899,0.16129032258064516,-0.0228854678515642,0.2032520325203252,18,"20140904,20140911,20140918,20140925","{""2014-05"": 0.023954845350521836, ""2014-06"": 0.025748970230726087, ""2014-07"": -0.0228854678515642, ""2014-08"": 0.01712779045990498}",,
KEEP_CANDIDATE,purchase_day3_9_x0.96,day_range,purchase,0.96,{},5.946163092864966,0.010297631435816967,0.1421314655099047,6.2452585226953525,0.12537747000136726,0.16129032258064516,-0.04915827038213294,0.2032520325203252,28,"20140903,20140904,20140905,20140906,20140907,20140908,20140909","{""2014-05"": -0.04915827038213294, ""2014-06"": -0.004306597187027528, ""2014-07"": 0.11121440431690299, ""2014-08"": -0.017030115153599645}",,
KEEP_CANDIDATE,purchase_day31_x0.86,single_day,purchase,0.86,{},5.946147945492297,0.010282484063147912,0.140836027213743,6.262288637848952,0.12577072555552876,0.16129032258064516,0.0,0.2032520325203252,3,,"{""2014-05"": 0.04079824321829584, ""2014-06"": 0.0, ""2014-07"": 0.0, ""2014-08"": 0.0}",,
KEEP_CANDIDATE,redeem_day25_27_x0.96,day_range,redeem,0.96,{},5.945989540794502,0.010124079365352756,0.14228147040274466,6.265330773759801,0.12483040104673139,0.16129032258064516,-0.015647088364721284,0.2032520325203252,12,"20140925,20140926,20140927","{""2014-05"": -0.015647088364721284, ""2014-06"": 0.0, ""2014-07"": 0.05277468670994878, ""2014-08"": 0.0030421359108485646}",,
KEEP_CANDIDATE,redeem_day25_x0.95,single_day,redeem,0.95,{},5.94596041543026,0.010094954001111489,0.14190051312470175,6.295168583306795,0.12349879665438086,0.16129032258064516,-0.023971016755989893,0.2032520325203252,4,20140925,"{""2014-05"": -0.023971016755989893, ""2014-06"": 0.0, ""2014-07"": 0.031145243625137375, ""2014-08"": 0.03287994545784301}",,
