report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4,active_users,purchase_users,redeem_users,date,weekday,day,month,is_weekend,is_month_start,is_month_end,days_to_month_end,purchase,redeem,avg_purchase_per_user,avg_redeem_per_user,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y
20130701,252327861,225364535,32488348,32458786,21250722,11208064,5525022,382160,5142862,5142862,0,29562,0.0,89350.0,0.0,292810.0,441,308,43,2013-07-01,0,1,7,0,1,0,30,32488348,5525022,105481.64935064936,128488.88372093023,1.5787,6.307,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125
20130702,278810703,252327861,29037390,29007510,16561183,12446327,2554548,350066,2204482,2204482,0,29880,0.0,1650.0,0.0,348416.0,480,328,34,2013-07-02,1,2,7,0,0,0,29,29037390,2554548,88528.62804878049,75133.76470588235,1.5461,6.174,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407
20130703,300127606,278810703,27270770,27234156,20493660,6740496,5953867,454406,5499461,5499461,0,36614,0.0,69764.0,0.0,384642.0,499,372,32,2013-07-03,2,3,7,0,0,0,28,27270770,5953867,73308.52150537634,186058.34375,1.467,6.034,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022
20130704,312038062,300127606,18321185,18282230,12108178,6174052,6410729,535391,5875338,5875338,0,38955,25078.0,107500.0,0.0,402813.0,523,399,48,2013-07-04,3,4,7,0,0,0,27,18321185,6410729,45917.75689223058,133556.85416666666,1.4223,5.903,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4
20130705,320923224,312038062,11648749,11607991,6930431,4677560,2763587,697926,2065661,2065661,0,40758,0.0,51100.0,0.0,646826.0,544,417,39,2013-07-05,4,5,7,0,0,0,26,11648749,2763587,27934.649880095923,70861.20512820513,1.3845,5.739,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4
20130706,356057861,320923224,36751272,36709190,31533483,5175707,1616635,300533,1316102,1316102,0,42082,0.0,21800.0,0.0,278733.0,553,423,30,2013-07-06,5,6,7,1,0,0,25,36751272,1616635,86882.43971631206,53887.833333333336,1.3674,5.582,,,,,,,,
20130707,361037358,356057861,8962232,8920335,5257768,3662567,3982735,336880,3645855,3645855,0,41897,0.0,0.0,0.0,336880.0,566,422,43,2013-07-07,6,7,7,1,0,0,24,8962232,3982735,21237.516587677725,92621.74418604652,1.3671,5.425,,,,,,,,
20130708,409947895,361037358,57258266,57218409,47490938,9727471,8347729,852530,7495199,7495199,0,39857,219851.0,3500.0,0.0,629179.0,580,421,54,2013-07-08,0,8,7,0,0,0,23,57258266,8347729,136005.38242280285,154587.57407407407,1.3129,5.279,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4
20130709,433273777,409947895,26798941,26755943,21541164,5214779,3473059,765509,2707550,2707550,0,42998,60000.0,0.0,0.0,705509.0,614,456,56,2013-07-09,1,9,7,0,0,0,22,26798941,3473059,58769.60745614035,62018.91071428572,1.3096,5.15,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4
20130710,461373114,433273777,30696506,30644691,20475437,10169254,2597169,603737,1993432,1993432,0,51815,8000.0,267500.0,0.0,328237.0,619,489,50,2013-07-10,2,10,7,0,0,0,21,30696506,2597169,62774.0408997955,51943.38,1.2792,5.047,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4
20130711,501939511,461373114,44075197,44021031,38701392,5319639,3508800,981695,2527105,2527105,0,54166,325455.0,2194.0,0.0,654046.0,658,515,54,2013-07-11,3,11,7,0,0,0,20,44075197,3508800,85582.9067961165,64977.77777777778,1.2616,4.959,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4
20130712,527630842,501939511,34183904,34126845,28358933,5767912,8492573,1371072,7121501,7121501,0,57059,483604.0,173268.0,0.0,714200.0,677,518,64,2013-07-12,4,12,7,0,0,0,19,34183904,8492573,65992.09266409266,132696.453125,1.2487,4.884,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4
20130713,539312730,527630842,15164717,15103661,8461168,6642493,3482829,309654,3173175,3173175,0,61056,0.0,45584.0,0.0,264070.0,694,538,46,2013-07-13,5,13,7,1,0,0,18,15164717,3482829,28187.206319702604,75713.67391304347,1.2396,4.815,,,,,,,,
20130714,559143926,539312730,22615303,22554354,18447507,4106847,2784107,592038,2192069,2192069,0,60949,0.0,182560.0,0.0,409478.0,697,529,47,2013-07-14,6,14,7,1,0,0,17,22615303,2784107,42751.045368620034,59236.31914893617,1.2394,4.745,,,,,,,,
20130715,594164538,559143926,48128555,48069686,28401224,19668462,13107943,1521794,11586149,11586149,0,58869,679000.0,222000.0,0.0,620794.0,714,532,74,2013-07-15,0,15,7,0,0,0,16,48128555,13107943,90467.20864661653,177134.36486486485,1.1985,4.682,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4
20130716,632922404,594164538,50622847,50559618,39657799,10901819,11864981,1529687,10335294,10335294,0,63229,744302.0,60000.0,0.0,725385.0,739,552,59,2013-07-16,1,16,7,0,0,0,15,50622847,11864981,91708.05615942029,201101.37288135593,1.2214,4.634,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4
20130717,651026573,632922404,29015682,28946382,25167271,3779111,10911513,2109498,8802015,8802015,0,69300,1348120.0,50000.0,0.0,711378.0,765,589,62,2013-07-17,2,17,7,0,0,0,14,29015682,10911513,49262.617996604415,175992.14516129033,1.1829,4.582,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4
20130718,663495722,651026573,24234505,24160561,12633212,11527349,11765356,3195410,8569946,8569946,0,73944,577438.0,2081710.0,0.0,536262.0,772,603,65,2013-07-18,3,18,7,0,0,0,13,24234505,11765356,40189.892205638476,181005.47692307693,1.1896,4.543,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4
